"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-21",,"85","95","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-22",,"81","99","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-23",,"86","99","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-24",,"83",,"77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-25",,"87","99","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-26",,"84","100",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-27",,"84","99",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-28",,"86","95",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-29",,"87","97",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-30",,"85","97",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-03-31",,"85","99","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-01",,"89","102","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-02",,"90","100",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-03",,"89","104","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-05",,"89","99",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-06",,"90","100",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-07",,"91","106","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-08",,"91",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-10",,"93","102",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-11",,"88","99",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-12",,"89","100","81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-13",,"87","97","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-14",,"89","104","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-15",,"85",,"79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-16",,"86","97","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-17",,"89","99","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-18",,"92","106","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-19",,"90","102","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-20",,"90",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-21",,"88","99","72"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-22",,"88","97","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-23",,"90","99",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-24",,"88","100",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-25",,"86","99","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-26",,"89","100",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-28",,"89",,"81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-29",,"88",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-04-30",,"89","97","82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-01",,"92",,"82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-02",,"87","99",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-03",,"85","100",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-04",,"87","95",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-05",,"87","95","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-09",,"97","106","82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-10",,"91","100","82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-11",,"87",,"82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-12",,"88","95","81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-13",,"87","100","73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-14",,"90","99","82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-15",,"87",,"81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-16",,"87","97",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-18",,"81","99",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-19",,"83",,"73"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-29",,"85","97",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-30",,"87","95",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-05-31",,"88","99","81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-01","0.00","87","97","81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-02","0.00","91","97","81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-03","0.04","90","97","81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-04","0.00","90","102",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-05",,"91","102",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-06",,"87",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-07","0.04","86","99","57"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-08","0.00","89",,"77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-09",,"87","99",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-10","0.08","85","90","81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-11","0.00","87","93",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-13",,"93","100",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-14","0.00","90","97","82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-15",,"91",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-16","0.00","95","104","84"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-17",,"89","104","84"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-18","0.00","91","104","82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-20",,"94",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-21","0.00","89",,"82"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-22","0.00","89","102",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-23","0.00","93",,"84"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-24","0.51","83","99","81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-25","0.55","85","99","79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-26","0.00","88",,"81"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-28",,"83","91","75"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-29","0.00","82",,"77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-06-30","0.00","85","93","77"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-01",,"84",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-02",,"84","90",
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-03","0.20","84",,"79"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","1973-07-04","0.16","80","91",
